date,name,value
2019-01,bosch,9
2020-01,bosch,26
2021-01,bosch,47
2022-01,bosch,56
2023-01,bosch,99
2024-01,bosch,101
2025-01,bosch,117
2016-01,brocade,8
2017-01,brocade,14
2018-01,brocade,31
2019-01,brocade,41
2020-01,brocade,61
2021-01,brocade,71
2022-01,brocade,96
2023-01,brocade,115
2024-01,brocade,151
2025-01,brocade,158
2015-01,ca,1
2017-01,ca,3
2018-01,ca,31
2019-01,ca,42
2020-01,ca,56
2021-01,ca,57
2022-01,ca,68
2025-01,ca,69
2015-01,canonical,37
2016-01,canonical,57
2017-01,canonical,62
2018-01,canonical,75
2019-01,canonical,98
2020-01,canonical,137
2021-01,canonical,171
2022-01,canonical,197
2023-01,canonical,229
2024-01,canonical,259
2025-01,canonical,267
2015-01,certcc,255
2016-01,certcc,546
2017-01,certcc,642
2018-01,certcc,689
2019-01,certcc,728
2020-01,certcc,758
2021-01,certcc,770
2022-01,certcc,791
2023-01,certcc,827
2024-01,certcc,845
2025-01,certcc,858
2016-01,checkpoint,10
2017-01,checkpoint,17
2018-01,checkpoint,42
2019-01,checkpoint,54
2020-01,checkpoint,71
2021-01,checkpoint,79
2022-01,checkpoint,86
2023-01,checkpoint,90
2024-01,checkpoint,99
2023-01,cirosec,1
2024-01,cirosec,4
2025-01,cirosec,10
2023-01,cisa-cg,19
2024-01,cisa-cg,45
2025-01,cisa-cg,55
2015-01,cisco,527
2016-01,cisco,890
2017-01,cisco,1345
2018-01,cisco,1832
2019-01,cisco,2430
2020-01,cisco,2941
2021-01,cisco,3554
2022-01,cisco,3901
2023-01,cisco,4171
2024-01,cisco,4449
2025-01,cisco,4591
2020-01,cloudflare,2
2021-01,cloudflare,10
2022-01,cloudflare,22
2023-01,cloudflare,43
2024-01,cloudflare,46
2025-01,cloudflare,55
2020-01,crafter,2
2021-01,crafter,12
2022-01,crafter,14
2023-01,crafter,16
2025-01,crafter,18
2018-01,cspcert,25
2024-01,curl,11
2025-01,curl,17
2017-01,dahua,7
2018-01,dahua,12
2019-01,dahua,19
2020-01,dahua,23
2021-01,dahua,26
2022-01,dahua,43
2024-01,dahua,50
2015-01,debian,86
2016-01,debian,225
2017-01,debian,304
2018-01,debian,344
2019-01,debian,359
2020-01,debian,374
2021-01,debian,389
2022-01,debian,392
2025-01,debian,393
2015-01,dell,81
2016-01,dell,197
2017-01,dell,357
2018-01,dell,557
2019-01,dell,667
2020-01,dell,779
2021-01,dell,937
2022-01,dell,1178
2023-01,dell,1386
2024-01,dell,1633
2025-01,dell,1722
2024-01,directcyber,12
2023-01,dotCMS,1
2024-01,dotCMS,5
2017-01,drupal,17
2018-01,drupal,20
2019-01,drupal,25
2020-01,drupal,42
2022-01,drupal,51
2023-01,drupal,53
2024-01,drupal,136
2025-01,drupal,223
2017-01,duo,5
2018-01,duo,6
2017-01,dwf,1
2019-01,dwf,174
2017-01,eclipse,10
2018-01,eclipse,30
2019-01,eclipse,60
2020-01,eclipse,70
2021-01,eclipse,100
2022-01,eclipse,107
2023-01,eclipse,120
2024-01,eclipse,143
2025-01,eclipse,156
2015-01,elastic,1
2016-01,elastic,16
2017-01,elastic,46
2018-01,elastic,71
2019-01,elastic,85
2020-01,elastic,98
2021-01,elastic,125
2022-01,elastic,140
2023-01,elastic,162
